Ticker,Company Name,Sector,Industry,Market Cap,Last Price,Volume,52 Week High,52 Week Low,Average Volume,P/E Ratio,Dividend Yield,Beta,Last Updated
CRS,Carpenter Technology Corporation,Industrials,Metal Fabrication,16026306560,321.49,952606,342.11,138.61,957382,39.253967,0.25,1.31,2025-12-16 17:19:18
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT - Residential,15986982912,133.19,625822,173.38,125.75,973041,28.218222,4.57,0.77,2025-12-16 17:19:39
EWBC,"East West Bancorp, Inc.",Financial Services,Banks - Regional,15776456704,114.47,755843,116.5,68.27,765398,12.6207285,2.11,0.911,2025-12-16 17:18:55
MEDP,"Medpace Holdings, Inc.",Healthcare,Diagnostics & Research,15738713088,558.74,257899,626.255,250.05,303996,38.99093,0.0,1.431,2025-12-16 17:17:28
ALB,Albemarle Corporation,Basic Materials,Specialty Chemicals,15426617344,131.07,2346837,136.1,49.43,3563455,0,1.23,1.431,2025-12-16 17:19:13
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,15257553920,72.62,4583983,91.68,54.99,3758212,23.966997,5.21,1.391,2025-12-16 17:17:00
ITT,ITT Inc.,Industrials,Specialty Industrial Machinery,15061305344,175.05,719021,197.07,105.64,668219,29.223707,0.81,1.367,2025-12-16 17:18:32
NWSA,News Corporation,Communication Services,Entertainment,15060324352,25.89,5487696,31.61,23.38,3854503,31.192772,0.77,0.973,2025-12-16 17:17:18
FFIV,"F5, Inc.",Technology,Software - Infrastructure,15002224640,258.26,1428641,346.0,223.76,1043379,21.867908,0.0,0.993,2025-12-16 17:16:32
RVMD,"Revolution Medicines, Inc.",Healthcare,Biotechnology,14993884160,77.56,4161650,81.487,29.17,2253730,0,0.0,0.959,2025-12-16 17:17:29
NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,14830225408,148.74,959699,160.18,84.23,976176,35.498806,0.0,0.274,2025-12-16 17:17:28
PFGC,Performance Food Group Company,Consumer Defensive,Food Distribution,14792089600,94.33,1273641,109.05,68.395,1316349,45.133972,0.0,0.936,2025-12-16 17:18:17
RBC,RBC Bearings Incorporated,Industrials,Tools & Accessories,14262134784,451.17,235076,465.8,290.56,211619,54.820175,0.0,1.531,2025-12-16 17:18:39
CSL,Carlisle Companies Incorporated,Industrials,Building Products & Equipment,14233001984,332.93,312217,435.92,293.43,519641,18.970371,1.33,0.957,2025-12-16 17:18:27
ICLR,ICON Public Limited Company,Healthcare,Diagnostics & Research,14189524992,182.45,480487,228.29,125.1,970953,24.622133,0.0,1.248,2025-12-16 17:17:27
CHWY,"Chewy, Inc.",Consumer Cyclical,Internet Retail,13836052480,33.34,6972877,48.62,29.825,7215874,68.04082,0.0,1.586,2025-12-16 17:20:23
RPM,RPM International Inc.,Basic Materials,Specialty Chemicals,13715737600,106.91,579555,133.01,95.28,898630,20.0206,2.02,1.105,2025-12-16 17:19:25
GGG,Graco Inc.,Industrials,Specialty Industrial Machinery,13714489344,82.72,633604,89.67,72.06,850146,28.232082,1.4,1.092,2025-12-16 17:18:31
KIM,Kimco Realty Corporation,Real Estate,REIT - Retail,13598077952,20.08,3769965,24.62,17.93,4655533,24.192772,5.07,1.064,2025-12-16 17:19:38
MAS,Masco Corporation,Industrials,Building Products & Equipment,13560481792,64.77,1457564,82.18,56.55,2454271,16.565216,1.91,1.272,2025-12-16 17:18:35
DOCU,"DocuSign, Inc.",Technology,Software - Application,13534432256,67.58,2842012,99.705,63.405,2977385,47.258743,0.0,0.986,2025-12-16 17:17:13
OHI,"Omega Healthcare Investors, Inc.",Real Estate,REIT - Healthcare Facilities,13425264640,44.2,1132450,46.36,35.04,1823682,24.555557,6.02,0.554,2025-12-16 17:19:42
IEX,IDEX Corporation,Industrials,Specialty Industrial Machinery,13340154880,177.19,496949,226.05,153.36,656279,27.992102,1.59,0.999,2025-12-16 17:18:32
ENTG,"Entegris, Inc.",Technology,Semiconductor Equipment & Materials,13334735872,87.96,3586909,112.36,60.75,2559306,46.29474,0.44,1.321,2025-12-16 17:20:09
DT,"Dynatrace, Inc.",Technology,Software - Application,13317529600,44.17,2241551,63.0,39.3,3276219,26.4491,0.0,0.868,2025-12-16 17:20:18
MTSI,"MACOM Technology Solutions Holdings, Inc.",Technology,Semiconductors,13164975104,175.69,992070,190.95,84.0,1148565,0,0.0,1.464,2025-12-16 17:20:14
WYNN,"Wynn Resorts, Limited",Consumer Cyclical,Resorts & Casinos,13105202176,126.04,1297487,134.72,65.25,1678647,27.946783,0.79,1.092,2025-12-16 17:16:59
W,Wayfair Inc.,Consumer Cyclical,Internet Retail,13044235264,100.08,1600363,114.92,20.41,3591701,0,0.0,3.259,2025-12-16 17:20:23
JOBY,"Joby Aviation, Inc.",Industrials,Airports & Air Services,12828788736,14.07,13682079,20.95,4.96,37016374,0,0.0,2.536,2025-12-16 17:18:33
HST,"Host Hotels & Resorts, Inc.",Real Estate,REIT - Hotel & Motel,12740383744,18.29,6294364,18.86,12.22,8242680,17.254719,4.29,1.199,2025-12-16 17:19:36
NIO,NIO Inc.,Consumer Cyclical,Auto Manufacturers,12719156224,5.03,25639084,8.02,3.02,61614663,0,0.0,1.042,2025-12-16 17:20:00
IONS,"Ionis Pharmaceuticals, Inc.",Healthcare,Biotechnology,12693934080,78.37,1891118,83.61,23.95,2435168,0,0.0,0.297,2025-12-16 17:17:29
SNAP,Snap Inc.,Communication Services,Internet Content & Information,12671672320,7.37,45847134,13.281,6.9,80009060,0,0.0,0.849,2025-12-16 17:17:12
MLI,"Mueller Industries, Inc.",Industrials,Metal Fabrication,12625581056,113.73,265694,115.28,66.84,733712,17.0,0.87,1.048,2025-12-16 17:18:35
AKAM,"Akamai Technologies, Inc.",Technology,Software - Infrastructure,12622735360,87.74,2017417,103.75,67.51,2763539,25.730204,0.0,0.682,2025-12-16 17:16:33
MDGL,"Madrigal Pharmaceuticals, Inc.",Healthcare,Biotechnology,12595072000,554.57,264681,605.0,265.0,342482,0,0.0,-1.046,2025-12-16 17:18:02
CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,12561003520,77.55,1707751,104.45,67.34,2474600,9.377267,2.54,0.679,2025-12-16 17:19:17
GLPI,"Gaming and Leisure Properties, Inc.",Real Estate,REIT - Specialty,12523119616,44.25,3116208,52.245,41.17,2417941,15.860215,7.09,0.696,2025-12-16 17:19:35
ELS,"Equity LifeStyle Properties, Inc.",Real Estate,REIT - Residential,12510139392,61.66,1368546,70.35,58.15,1928006,30.83,3.28,0.786,2025-12-16 17:19:34
BXP,"BXP, Inc.",Real Estate,REIT - Office,12506585088,70.7,1816267,80.81,54.22,1717958,0,3.91,1.008,2025-12-16 17:19:32
ALGN,"Align Technology, Inc.",Healthcare,Medical Instruments & Supplies,11807304704,162.89,1263039,237.23,122.0,1396628,31.567831,0.0,1.859,2025-12-16 17:17:23
MRNA,"Moderna, Inc.",Healthcare,Biotechnology,11679028224,29.89,7345562,48.92,22.28,10774992,0,0.0,1.113,2025-12-16 17:17:23
BLDR,"Builders FirstSource, Inc.",Industrials,Building Products & Equipment,11409704960,103.18,1615897,175.12,94.35,2079433,19.578749,0.0,1.565,2025-12-16 17:18:25
DOC,"Healthpeak Properties, Inc.",Real Estate,REIT - Healthcare Facilities,11369379840,16.36,10154222,21.28,16.305,8186293,0,7.32,1.095,2025-12-16 17:19:33
CPT,Camden Property Trust,Real Estate,REIT - Residential,11263346688,105.41,1282489,126.55,97.17,1252825,42.676113,4.01,0.825,2025-12-16 17:19:32
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,11198824448,41.6,2198755,49.62,31.9,2792404,17.47899,0.0,0.4,2025-12-16 17:17:52
CELH,"Celsius Holdings, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,11123435520,43.15,4969922,66.74,21.1,6347144,359.58334,0.0,1.004,2025-12-16 17:18:08
TXRH,"Texas Roadhouse, Inc.",Consumer Cyclical,Restaurants,11016846336,165.79,757551,199.99,148.73,1079720,25.31145,1.6,0.889,2025-12-16 17:17:06
AYI,Acuity Inc.,Industrials,Electrical Equipment & Parts,10980229120,357.34,177147,379.17,216.81,269469,28.518755,0.19,1.492,2025-12-16 17:18:25
